customerId,products,
67,704,
193,368,
102,463,
50,742,
119,555,
192,739,
190,140,
37,395,
28,774,
54,177,
36,633,
45,663,
168,229,
97,651,
166,729,
14,513,
113,867,
52,960,
54,62,
154,193,
157,527,
43,72,
39,960,
51,552,
130,198,
146,914,
166,393,
85,635,
13,753,
27,839,
52,624,
5,889,
32,751,
125,526,
82,275,
92,127,
116,540,
163,189,
90,134,
72,375,
81,560,
52,828,
11,543,
75,583,
21,125,
84,238,
118,950,
117,814,
70,107,
124,916,
11,9,
28,0,
64,897,
121,215,
89,206,
46,558,
8,227,
76,285,
168,387,
41,250,
121,709,
50,949,
43,169,
84,759,
135,128,
96,846,
107,673,
4,576,
197,184,
158,16,
60,566,
61,412,
175,278,
68,14,
178,687,
6,329,
89,667,
55,204,
107,965,
199,560,
71,19,
103,495,
139,111,
154,726,
195,379,
39,448,
71,394,
86,366,
95,910,
97,162,
101,939,
82,610,
32,405,
13,906,
57,12,
128,843,
149,108,
44,345,
66,366,
159,147,
187,231,
164,66,
62,903,
49,37,
13,902,
136,345,
101,612,
12,822,
18,647,
180,417,
40,633,
54,136,
26,445,
151,389,
187,352,
49,837,
107,591,
180,627,
155,608,
135,938,
133,340,
143,498,
73,883,
184,774,
134,9,
36,718,
160,304,
129,634,
171,484,
44,643,
34,727,
32,775,
110,26,
97,969,
42,819,
176,136,
24,25,
69,429,
28,595,
69,788,
161,270,
111,717,
33,886,
155,593,
155,242,
174,644,
95,237,
70,953,
128,878,
65,106,
51,245,
164,68,
124,312,
12,331,
190,724,
163,735,
179,733,
75,602,
105,389,
57,77,
154,533,
176,617,
39,517,
35,556,
41,230,
139,365,
107,482,
63,205,
89,29,
18,643,
68,733,
146,9,
83,861,
110,392,
123,516,
170,595,
103,507,
111,576,
133,880,
160,432,
193,480,
156,782,
110,282,
55,196,
63,917,
178,245,
45,913,
43,417,
185,276,
0,179,
79,807,
5,60,
196,27,
89,485,
40,743,
33,779,
184,762,
68,610,
75,199,
145,472,
76,87,
146,450,
36,317,
198,713,
11,117,
116,647,
169,485,
117,920,
119,345,
179,175,
28,477,
73,825,
97,436,
179,812,
101,582,
110,863,
27,306,
110,572,
196,639,
51,433,
35,506,
173,671,
52,858,
59,441,
12,524,
144,668,
102,5,
186,143,
61,609,
5,418,
58,479,
99,815,
115,49,
107,562,
33,304,
66,808,
3,246,
108,752,
124,74,
177,535,
176,916,
70,101,
181,289,
79,545,
25,870,
39,738,
197,650,
92,250,
62,368,
15,254,
153,581,
114,489,
56,745,
135,288,
172,418,
138,564,
132,500,
33,136,
197,334,
129,555,
49,56,
132,371,
77,210,
178,438,
40,283,
155,519,
124,284,
158,736,
120,253,
121,730,
168,699,
113,782,
144,142,
126,224,
45,582,
45,704,
95,471,
49,255,
0,434,
53,569,
151,695,
120,972,
109,465,
170,590,
96,809,
154,356,
95,822,
66,811,
5,770,
51,752,
104,43,
5,60,
89,864,
186,563,
177,493,
167,318,
182,250,
200,418,
169,729,
116,854,
96,647,
15,278,
30,290,
6,627,
173,132,
184,638,
37,360,
45,540,
73,548,
199,464,
191,17,
76,737,
108,612,
197,860,
80,494,
87,536,
111,832,
23,122,
46,456,
125,209,
30,705,
188,159,
103,217,
10,254,
39,902,
82,623,
192,121,
159,88,
60,289,
167,476,
186,353,
90,9,
152,750,
184,604,
126,463,
1,934,
28,103,
118,176,
105,302,
8,711,
48,670,
77,709,
93,325,
122,97,
103,256,
35,352,
167,195,
149,120,
5,209,
86,805,
134,344,
199,542,
184,562,
148,545,
44,191,
44,702,
128,647,
118,474,
168,83,
98,303,
200,862,
199,94,
21,854,
156,747,
197,461,
183,881,
75,746,
42,484,
182,453,
105,186,
150,166,
13,945,
85,154,
121,132,
192,235,
42,197,
