,customerId,productId,rank
0,1553,132,1
1,1553,37,2
2,1553,34,3
3,1553,248,4
4,1553,0,5
5,1553,3,6
6,1553,27,7
7,1553,110,8
8,1553,230,9
9,1553,32,10
10,20400,132,1
11,20400,37,2
12,20400,34,3
13,20400,248,4
14,20400,0,5
15,20400,3,6
16,20400,27,7
17,20400,110,8
18,20400,230,9
19,20400,32,10
20,19750,132,1
21,19750,37,2
22,19750,34,3
23,19750,248,4
24,19750,0,5
25,19750,3,6
26,19750,27,7
27,19750,110,8
28,19750,230,9
29,19750,32,10
30,6334,132,1
31,6334,37,2
32,6334,34,3
33,6334,248,4
34,6334,0,5
35,6334,3,6
36,6334,27,7
37,6334,110,8
38,6334,230,9
39,6334,32,10
40,27773,132,1
41,27773,37,2
42,27773,34,3
43,27773,248,4
44,27773,0,5
45,27773,3,6
46,27773,27,7
47,27773,110,8
48,27773,230,9
49,27773,32,10
50,20027,132,1
51,20027,37,2
52,20027,34,3
53,20027,248,4
54,20027,0,5
55,20027,3,6
56,20027,27,7
57,20027,110,8
58,20027,230,9
59,20027,32,10
60,10104,132,1
61,10104,37,2
62,10104,34,3
63,10104,248,4
64,10104,0,5
65,10104,3,6
66,10104,27,7
67,10104,110,8
68,10104,230,9
69,10104,32,10
70,5522,132,1
71,5522,37,2
72,5522,34,3
73,5522,248,4
74,5522,0,5
75,5522,3,6
76,5522,27,7
77,5522,110,8
78,5522,230,9
79,5522,32,10
80,9978,132,1
81,9978,34,2
82,9978,248,3
83,9978,0,4
84,9978,3,5
85,9978,27,6
86,9978,110,7
87,9978,230,8
88,9978,32,9
89,9978,10,10
90,20966,132,1
91,20966,37,2
92,20966,34,3
93,20966,248,4
94,20966,0,5
95,20966,3,6
96,20966,27,7
97,20966,110,8
98,20966,230,9
99,20966,32,10
100,218,132,1
101,218,37,2
102,218,34,3
103,218,248,4
104,218,3,5
105,218,27,6
106,218,230,7
107,218,32,8
108,218,10,9
109,218,226,10
110,9023,132,1
111,9023,37,2
112,9023,34,3
113,9023,248,4
114,9023,0,5
115,9023,3,6
116,9023,27,7
117,9023,110,8
118,9023,230,9
119,9023,32,10
120,22253,132,1
121,22253,37,2
122,22253,34,3
123,22253,248,4
124,22253,0,5
125,22253,3,6
126,22253,27,7
127,22253,110,8
128,22253,230,9
129,22253,32,10
130,1705,132,1
131,1705,37,2
132,1705,34,3
133,1705,248,4
134,1705,0,5
135,1705,3,6
136,1705,27,7
137,1705,110,8
138,1705,230,9
139,1705,32,10
140,10526,132,1
141,10526,37,2
142,10526,34,3
143,10526,248,4
144,10526,0,5
145,10526,3,6
146,10526,27,7
147,10526,110,8
148,10526,230,9
149,10526,32,10
150,13702,132,1
151,13702,37,2
152,13702,34,3
153,13702,248,4
154,13702,0,5
155,13702,3,6
156,13702,27,7
157,13702,110,8
158,13702,230,9
159,13702,32,10
160,18388,132,1
161,18388,34,2
162,18388,248,3
163,18388,3,4
164,18388,27,5
165,18388,110,6
166,18388,230,7
167,18388,32,8
168,18388,10,9
169,18388,245,10
170,6591,132,1
171,6591,37,2
172,6591,34,3
173,6591,248,4
174,6591,0,5
175,6591,3,6
176,6591,27,7
177,6591,110,8
178,6591,230,9
179,6591,32,10
180,821,132,1
181,821,37,2
182,821,34,3
183,821,248,4
184,821,3,5
185,821,27,6
186,821,110,7
187,821,230,8
188,821,32,9
189,821,10,10
190,15830,132,1
191,15830,37,2
192,15830,34,3
193,15830,248,4
194,15830,0,5
195,15830,3,6
196,15830,27,7
197,15830,110,8
198,15830,230,9
199,15830,32,10
200,18056,132,1
201,18056,37,2
202,18056,34,3
203,18056,248,4
204,18056,0,5
205,18056,3,6
206,18056,27,7
207,18056,110,8
208,18056,230,9
209,18056,32,10
210,13225,132,1
211,13225,37,2
212,13225,34,3
213,13225,248,4
214,13225,0,5
215,13225,3,6
216,13225,27,7
217,13225,110,8
218,13225,230,9
219,13225,32,10
220,4871,132,1
221,4871,37,2
222,4871,34,3
223,4871,248,4
224,4871,0,5
225,4871,3,6
226,4871,27,7
227,4871,110,8
228,4871,230,9
229,4871,32,10
230,16104,132,1
231,16104,37,2
232,16104,34,3
233,16104,248,4
234,16104,0,5
235,16104,3,6
236,16104,27,7
237,16104,110,8
238,16104,230,9
239,16104,32,10
240,5365,132,1
241,5365,37,2
242,5365,34,3
243,5365,248,4
244,5365,0,5
245,5365,3,6
246,5365,27,7
247,5365,110,8
248,5365,230,9
249,5365,32,10
250,7180,132,1
251,7180,37,2
252,7180,34,3
253,7180,248,4
254,7180,0,5
255,7180,3,6
256,7180,27,7
257,7180,110,8
258,7180,230,9
259,7180,32,10
260,7096,132,1
261,7096,37,2
262,7096,34,3
263,7096,248,4
264,7096,3,5
265,7096,27,6
266,7096,110,7
267,7096,230,8
268,7096,32,9
269,7096,10,10
270,21259,132,1
271,21259,37,2
272,21259,34,3
273,21259,248,4
274,21259,0,5
275,21259,3,6
276,21259,27,7
277,21259,110,8
278,21259,230,9
279,21259,32,10
280,14082,132,1
281,14082,37,2
282,14082,34,3
283,14082,248,4
284,14082,0,5
285,14082,3,6
286,14082,27,7
287,14082,110,8
288,14082,230,9
289,14082,32,10
290,14748,132,1
291,14748,37,2
292,14748,34,3
293,14748,248,4
294,14748,0,5
295,14748,3,6
296,14748,27,7
297,14748,110,8
298,14748,230,9
299,14748,32,10
300,26434,132,1
301,26434,37,2
302,26434,34,3
303,26434,248,4
304,26434,0,5
305,26434,3,6
306,26434,27,7
307,26434,110,8
308,26434,230,9
309,26434,32,10
310,12641,132,1
311,12641,37,2
312,12641,34,3
313,12641,248,4
314,12641,0,5
315,12641,3,6
316,12641,27,7
317,12641,110,8
318,12641,230,9
319,12641,32,10
320,14102,132,1
321,14102,37,2
322,14102,34,3
323,14102,248,4
324,14102,0,5
325,14102,3,6
326,14102,27,7
327,14102,110,8
328,14102,230,9
329,14102,32,10
330,18038,132,1
331,18038,37,2
332,18038,34,3
333,18038,248,4
334,18038,0,5
335,18038,3,6
336,18038,27,7
337,18038,110,8
338,18038,230,9
339,18038,32,10
340,4175,132,1
341,4175,37,2
342,4175,34,3
343,4175,248,4
344,4175,0,5
345,4175,3,6
346,4175,27,7
347,4175,110,8
348,4175,230,9
349,4175,32,10
350,18051,132,1
351,18051,37,2
352,18051,34,3
353,18051,248,4
354,18051,0,5
355,18051,3,6
356,18051,27,7
357,18051,110,8
358,18051,230,9
359,18051,32,10
360,15867,132,1
361,15867,37,2
362,15867,34,3
363,15867,248,4
364,15867,0,5
365,15867,3,6
366,15867,27,7
367,15867,110,8
368,15867,230,9
369,15867,32,10
370,1043,132,1
371,1043,37,2
