simple_sku,product_name,sale_price,discounted_price,discounted_percentage,currency,Category lv1,Category lv2,Category lv3,picture_url,image_url_2,image_url_3,image_url_4,image_url_5,tracking_link,brand
AC016ELAA3AJK9ANID-6259610,Acer Predator 15 G9-791 - 15 inch  - Intel Core i7-6700HQ - 16GB RAM - Hitam,28299000,27250000,4,IDR,Computers & Laptops,Laptops,Gaming,http://id-live-01.slatic.net/p/2/image-1670355-664185930647f43a66f9bb3764bef28b-product.jpg,http://id-live-01.slatic.net/p/2/image-1670355-04beb012630dd56b12611018cffbf34a-product.jpg,http://id-live-01.slatic.net/p/2/image-1670355-fdd71a0502517f1dbab52e5ace1f92b9-product.jpg,http://id-live-01.slatic.net/p/2/image-1670355-9c3bf8a22e9900514d5d7f6834142b8e-product.jpg,http://id-live-01.slatic.net/p/2/image-1670355-3542932e63213ed185ad63269bfb4a8c-product.jpg,http://ho.lazada.co.id/SHEJvt?url=http%3A%2F%2Fwww.lazada.co.id%2Facer-predator-15-g9-791-15-intel-core-i7-6700hq-16gb-ram-hitam-5530761.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D%26aff_source%3D%7Bsource%7D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=&source=,Acer
AC016ELAA3YH1JANID-7670629,Acer E5-552G - AMD FX-8800P - 15 inch  - 8GB - 1TB - AMD RADEON GRAPHIC R8 M365DX - DOS,8500000,7960000,6,IDR,Computers & Laptops,Laptops,Gaming,http://id-live-01.slatic.net/p/2/image-9327466-672fc72c6f2d2e846d9c47ab1f19455d-product.jpg,http://id-live-01.slatic.net/p/2/image-9327466-07215efc7898915971ab652f4a859e6b-product.jpg,http://id-live-01.slatic.net/p/2/image-9327466-69c91cd1dd80dfe4ad8f93a4528f6134-product.jpg,,,http://ho.lazada.co.id/SHEJvt?url=http%3A%2F%2Fwww.lazada.co.id%2Facer-e5-552g-amd-fx-8800p-15-8gb-1tb-amd-radeon-graphic-r8-m365dx-dos-6647239.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D%26aff_source%3D%7Bsource%7D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=&source=,Acer
AC016ELAA4A7HOANID-8353812,Acer Predator 17 G9-791-7552 (Intel Core i7-6700HQ/Nvidia Geforce GTX 970M/16GB RAM/1TB HDD/17.3 inch /Win10),24099000,22894050,5,IDR,Computers & Laptops,Laptops,Gaming,http://id-live-01.slatic.net/p/2/image-2374917-3587f382980c9dc20d1eb0b570a56bab-product.jpg,http://id-live-01.slatic.net/p/2/image-2374917-91ca1775c06663b2db6a50f96da38931-product.jpg,http://id-live-01.slatic.net/p/2/image-2374917-f085d520dc7ddfbf864b7073b1a30e55-product.jpg,http://id-live-01.slatic.net/p/2/image-2374917-97ea9233c369d7c0776276c37da483b6-product.jpg,,http://ho.lazada.co.id/SHEJvt?url=http%3A%2F%2Fwww.lazada.co.id%2Facer-predator-17-g9-791-7552-intel-core-i7-6700hqnvidia-geforce-gtx-970m16gb-ram1tb-hdd173win10-7194732.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D%26aff_source%3D%7Bsource%7D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=&source=,Acer
AC016ELAA4J0TOANID-8922533,Acer Aspire E5-473G-36F4 - 14 inch  - Intel Core i3-5005U - 4GB - VGA 2GB - Grey,7000000,5799000,17,IDR,Computers & Laptops,Laptops,Gaming,http://id-live-01.slatic.net/p/2/image-6995067-ddf98ca71eaacc2dcfa1ab8ee59703b1-product.jpg,,,,,http://ho.lazada.co.id/SHEJvt?url=http%3A%2F%2Fwww.lazada.co.id%2Facer-aspire-e5-473g-36f4-14-intel-core-i3-5005u-4gb-vga-2gb-grey-7605996.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D%26aff_source%3D%7Bsource%7D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=&source=,Acer
AC016ELAA4S0KXANID-9493138,Acer Predator 17 - G9-792 - 17 inch  - Intel Core i7-6700HQ - RAM 16GB - Win 10 - Hitam,35000000,35000000,0,IDR,Computers & Laptops,Laptops,Gaming,http://id-live-01.slatic.net/p/2/image-5855208-81413683c10983e10e4bb8c3601ecd27-product.jpg,,,,,http://ho.lazada.co.id/SHEJvt?url=http%3A%2F%2Fwww.lazada.co.id%2Facer-predator-17-g9-792-17-intel-core-i7-6700hq-ram-16gb-win-10-hitam-8025585.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D%26aff_source%3D%7Bsource%7D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=&source=,Acer
AC016ELAA4S7XUANID-9505309,Acer-Predator 15' G9-592-Core I7-6700Hq Windows 10-Black,29999000,29999000,0,IDR,Computers & Laptops,Laptops,Gaming,http://id-live-01.slatic.net/p/2/image-2215308-350368c907a58c0f4fa4b9110811c5c8-product.jpg,http://id-live-01.slatic.net/p/2/image-2215308-94e835ffd95a7b0d47666092dd341452-product.jpg,http://id-live-01.slatic.net/p/2/image-2215308-82f644cf6adc5711af700adc53694e72-product.jpg,http://id-live-01.slatic.net/p/2/image-2215308-55162caf2f8219efcfbcb4ddf44d7b4e-product.jpg,http://id-live-01.slatic.net/p/2/image-2215308-0a61d40e3f451d6d8d298b808a490a8d-product.jpg,http://ho.lazada.co.id/SHEJvt?url=http%3A%2F%2Fwww.lazada.co.id%2Facer-predator-15-g9-592-core-i7-6700hq-windows-10-black-8035122.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D%26aff_source%3D%7Bsource%7D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=&source=,Acer
AC016ELAA4S7Y1ANID-9505315,Acer-Predator 17' G9-792- Core I7-6700Hq -Windows 10-Black,31999000,31999000,0,IDR,Computers & Laptops,Laptops,Gaming,http://id-live-01.slatic.net/p/2/image-9215308-c3c2633665b1f8060f3ec26d0321592c-product.jpg,http://id-live-01.slatic.net/p/2/image-9215308-239d171cbb1b0ec50fcb93677cc92e66-product.jpg,http://id-live-01.slatic.net/p/2/image-9215308-35e97939b4b3f452feb29f492455f81d-product.jpg,http://id-live-01.slatic.net/p/2/image-9215308-005fd0f95b3fbf3d2ea6a5bc026f51e5-product.jpg,,http://ho.lazada.co.id/SHEJvt?url=http%3A%2F%2Fwww.lazada.co.id%2Facer-predator-17-g9-792-core-i7-6700hq-windows-10-black-8035129.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D%26aff_source%3D%7Bsource%7D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=&source=,Acer
AC016ELAA4TI7ZANID-9583056,Acer Predator 15 - G9-592G - 15.6 inch  - RAM 4GB - Intel Core i7-6700HQ - Windows 10 - Hitam,32000000,32000000,0,IDR,Computers & Laptops,Laptops,Gaming,http://id-live-01.slatic.net/p/2/image-3015908-7b8dbd88c7b23f77b067aaad0c2eb870-product.jpg,http://id-live-01.slatic.net/p/2/image-3015908-9e4f1863dc6fd6a2b3065676e2bb2753-product.jpg,,,,http://ho.lazada.co.id/SHEJvt?url=http%3A%2F%2Fwww.lazada.co.id%2Facer-predator-15-g9-592g-156-ram-4gb-intel-core-i7-6700hq-windows-10-hitam-8095103.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D%26aff_source%3D%7Bsource%7D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=&source=,Acer
AC016ELAA4WM8KANID-9770291,Acer VN7-572G - 15.6 inch  - Intel Core i7-6700HQ - 8GB - Hitam,15799000,15799000,0,IDR,Computers & Laptops,Laptops,Gaming,http://id-live-01.slatic.net/p/2/image-6720428-0f29afb5fc639116779d200f943d9778-product.jpg,,,,,http://ho.lazada.co.id/SHEJvt?url=http%3A%2F%2Fwww.lazada.co.id%2Facer-vn7-572g-156-intel-core-i7-6700hq-8gb-hitam-8240276.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D%26aff_source%3D%7Bsource%7D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=&source=,Acer
AC016ELAA4WM8MANID-9770293,Acer VN7-592G - 15.6 inch  - Intel Core i7-6700U - 8GB RAM - Hitam,17799000,17799000,0,IDR,Computers & Laptops,Laptops,Gaming,http://id-live-01.slatic.net/p/2/image-8720428-0f29afb5fc639116779d200f943d9778-product.jpg,,,,,http://ho.lazada.co.id/SHEJvt?url=http%3A%2F%2Fwww.lazada.co.id%2Facer-vn7-592g-156-intel-core-i7-6700u-8gb-ram-hitam-8240278.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D%26aff_source%3D%7Bsource%7D&aff_sub=&aff_sub2=&aff_sub3=&aff_sub4=&aff_sub5=&source=,Acer
